location,GADM_boxes,date,time,caption
Yangon,"[154/14/59,154/14/60,154/14/61,154/14/62]",20141224,183240+0000,"In this Wednesday, Dec. 24, 2014 photo, activists holding candles shout slogans as they offer prayers for a victim of a crackdown on protesters at a copper mine in northwestern Myanmar, at a jetty in Yangon, Myanmar. Villagers refusing to leave their homes for the expansion of a Chinese-backed copper mine in northwestern Myanmar remained in a tense standoff with security forces for a second straight day Tuesday. (AP Photo/Khin Maung Win)"
New Delhi,"[105/10/121]",20150124,140019+0000,"Members of various Left Front political parties shout slogans as they are not allowed beyond a barricade during a protest march against U.S. President Barack Obama's visit to India, in New Delhi, India, Saturday, Jan. 24, 2015. Obama will arrive in New Delhi on Sunday for a three-day visit to talk with Prime Minister Narendra Modi and to be the chief guest in India's Republic Day parade marked annually on Jan. 26. (AP Photo/Altaf Qadri)"
Incheon,"[2011/11]",20140922,125456+0000,"FILE - In this Monday, Sept. 22, 2014 file photo, gold medalist Najmeh Khedmati of Iran, center, waves to photographers as silver medalist and her compatriot Narjes Emamgholinejad Andevari, left, and bronze medalist Zhang Binbin of China smile at her during the victory ceremony for the women's 10m air rifle shooting competition at the 17th Asian Games at Ongnyeon International Shooting Range in Incheon, South Korea. The Qatar women's basketball team forfeited its Asian Games match against Mongolia after players were refused permission to wear a hijab. Incheon Asian Games Organizing Committee spokeswoman Anna Jihyun You told The Associated Press on Wednesday, Sept. 24, that the players \"had refused to take off the hijab\" and the match was awarded to the opposition. (AP Photo/Dita Alangkara, File)"
Washington,"[240/9/317]",20140720,171640+0000,"Protestors gather infront of the White House in Washington during a demonstration against Israel's military offensive in the Gaza Strip, Sunday, July 20, 2014. The first major ground battle in two weeks of Israel-Hamas fighting exacted a steep price Sunday: It killed are 65 Palestinians and 13 Israeli soldiers and forced thousands of terrified Palestinian civilians to flee their neighborhood, reportedly used to launch rockets at Israel and now devastated by the fighting.(AP Photo/Pablo Martinez Monsivais)"
Hong Kong,"[102]",20141105,114238+0000,"Pro-democracy protesters read at a main road in the occupied area of the Causeway Bay district in Hong Kong Wednesday, Nov. 5, 2014. Hong Kong student protest leaders are considering to visit Beijing while it hosts the Asia-Pacific Economic Cooperation (APEC) forum this week to press their demands for greater democratic reforms. (AP Photo/Vincent Yu)"
Washington,"[240/9/317]",20140923,135105+0000,"Anti-war activists, angered by military strikes in Syria, are arrested after blocking the northwest gate of the White House on Pennsylvania Avenue in Washington, Tuesday, Sept. 23, 2014. After laying down in front of the entrance and shouting about killing Syrian children, the demonstrators were taken into custody by U.S. Park Police. Security at the White House perimeter was already elevated since last Friday when a 42-year-old Army veteran climbed over the fence and dashed across the north lawn and entered the executive mansion before being stopped. (AP Photo/J. Scott Applewhite)"
Everett,"[240/48/2985]",20140902,112938+0000,"An oil train sits idled on tracks, blocked from progress by protesters blocking the track ahead Tuesday, Sept. 2, 2014, in Everett, Wash. About a dozen demonstrators blocked the tracks at a Burlington Northern Santa Fe yard to protest oil and coal export terminals in the Northwest. (AP Photo/Elaine Thompson)"
New Delhi,"[105/10/121]",20141205,115811+0000,"Indian workers shout anti-government slogans during a protest against alleged anti-worker and pro-corporate policies of the government in New Delhi, India, Friday, Dec. 5, 2014. The protest is a part of the All India Protest Day against the amendments in labor laws, organized by Central Trade Unions, independent employees federations and associations of Banks, Insurance, Defense, Telecommunications and other sectors. (AP Photo/Altaf Qadri)"
Washington,"[240/9/317]",20141017,152714+0000,"Jeff Hulbert, of Annapolis, Md., protests U.S. handling of Ebola cases, outside of the White House Friday, Oct. 17, 2014, in Washington. \"Travel should temporarily be restricted while American medical infrastructure gets up to speed,\" says Hulbert. (AP Photo/Jacquelyn Martin)"
Atlanta,"[240/11/444]",20140515,061936+0000,"Ann Mauney holds a sign for passing motorists as she demonstrates with fast food workers and supporters during a protest outside a Krispy Kreme store, Thursday, May 15, 2014, in Atlanta. Calling for higher pay and the right to form a union without retaliation, fast-food chain workers in Atlanta protested Thursday as part of a wave of strikes and protests in 150 cities across the U.S. and 33 additional countries on six continents.(AP Photo/David Goldman)"
Hong Kong,"[102]",20141007,101138+0000,"A businessman walks through the pro-democracy student protesters' thinly occupied areas surrounding the government complex in Hong Kong, Tuesday, Oct. 7, 2014. Student-led protests for democratic reforms in Hong Kong continued to shrink Tuesday morning but a few hundred demonstrators remained camped out in the streets, vowing to keep up the pressure until the government responds to their demands. (AP Photo/Wally Santana)"
Sao Paulo,"[32/25/5212]",20150320,130645+0000,"A Greenpeace activist wearing a mask depicting Sao Paulo's Governor Geraldo Alckmin, holds a banner that reads in Portuguese \"Drought\" during a protest against the unfair discounts, that according to the environmental group, are given to companies for their high use of water, in Sao Paulo, Brazil, Friday, March 20, 2015. (AP Photo/Andre Penner)"
Mexico City,"[145/9]",20150320,115805+0000,"Activists from Anima Naturalis animal rights group participate in a street performance as meat wrapped in a packing tray in Mexico City, Friday, March 20, 2015. The label on the package reads in Spanish \"Human Meat.\" The protest was organized during the International Day Without Meat, a day when everyone is encourage to experiment with a diet without meat. (AP Photo/Eduardo Verdugo)"
Miami,"[240/10/360]",20141205,173310+0000,"Desiree Griffiths, 31, of Miami, holds up a sign saying \"Black Lives Matter\", with the names of Michael Brown and Eric Garner, two black men recently killed by police, during a protest Friday, Dec. 5, 2014, in Miami. People are protesting nationwide against recent decisions not to prosecute white police officers involved in the killing of black men. (AP Photo/Lynne Sladky)"
Hong Kong,"[102]",20141107,130021+0000,"Tents set up by pro-democracy protesters are seen at a main road in the occupied area of the Mong Kok district in Hong Kong Friday, Nov. 7, 2014. Hong Kong student protest leaders are considering to visit Beijing while it hosts the Asia-Pacific Economic Cooperation (APEC) summit this week to press their demands for greater democratic reforms. (AP Photo/Vincent Yu)"
Hong Kong,"[102]",20141010,074056+0000,"Police officers stand guard on a main road in the occupied areas at Causeway Bay district in Hong Kong, Friday, Oct. 10, 2014. A pro-democracy protest that has blocked main roads in Hong Kong for almost two weeks could drag on for days yet, after talks aimed at resolving a bitter standoff between the city's government and student demonstrators collapsed Thursday. (AP Photo/Vincent Yu)"
Hong Kong,"[102]",20141009,074615+0000,"A man walks to work in the occupied areas at Central district in Hong Kong, Thursday, Oct. 9, 2014. The government and students leaders announced they will begin talks on political reform on Friday. (AP Photo/Vincent Yu)"
