singular_peace,singular_force,collective_peace,collective_force,tweet,,,,
0,0,0,0,Para desainer talent show.. \\n@MensHealthIndo @FitnessFirstInd @ArusLiar @hustle_tees #MHIAdventure2014 http://t.co/JRsJ4KFeLt,,,,
0,0,0,0,Happy Friday,,,,
0,0,0,0,"@EmblemThree aaaaaa love you, Brazil ta waiting for you. meeeee follows f",,,,
0,0,0,0,Realising I live opposite Millie's grandad this whole time and we only just realised is so funny,,,,
0,0,0,0,"Don't like my women single, I like my chicks in twos \ud83d\udc23\ud83d\udc23 @ McFadden's Saloon DC http://t.co/zgLTQg4Ia2",,,,
0,0,0,0,You already know \ud83d\udc81\ud83d\udc80\ud83d\udc95 http://t.co/3w1nf6hpwk,,,,
0,0,0,0,"New Event: Adam B. Shapiro @ 54 Below (New York, NY) http://t.co/LoOgzpHixZ",,,,
0,0,0,0,It's suppose to be a snow storm' so hopefully that means no school &amp; kamirah &amp; Jay gone be here!!!,,,,
1,0,0,0,"@NZ2OCasey my intent is not to be filled with \\\\\\""anti white sentiment\\\""\\\"" as you came to conclude""",,,,
0,0,0,0,I'm at Home Garden 1453 Caf\u00e9 &amp; Patisserie in Ankara https://t.co/lCzI6i4FM9,,,,
0,0,0,0,Now Hiring: Senior Portfolio Management Officer &amp;#226;&amp;#128;&amp;#147; Middle Market Banking (Financial Instit | http://t.co/Tk8cX4RVqA #jobs,,,,
0,0,0,0,@LightSkinBastrd @Paarthyyy that's what I was saying haha,,,,
0,0,0,0,@maymayx3 I'm dying I need to go stalk,,,,
0,0,0,0,"Sad that in 2014 this is NEWS Nicola Sturgeon becomes Scotland's first female First Minister http://t.co/gnEahEXcwy http://t.co/HxaWl2YZzy\\\\\\""""",,,,
0,0,0,0,Trend Alert: #SebsWCW. More trends at http://t.co/eHUbrdogSW #trndnl http://t.co/cE4rBXP0Mn,,,,
0,0,0,0,uncle grandpa really confuses me,,,,
0,0,0,0,\u201c@PotterReacts: When you\u2019re ordering a takeaway and your friend keeps telling you to order extra things http://t.co/7FabeRi0l3\u201d @CBurnicle,,,,
1,0,0,0,@joshlikeswomen FUCK OBAMA,,,,
1,0,0,0,"\\\\\\""@Smokee_SMB: Whoever disrespect mcdonalds gets beat \ud83d\ude21\\\""\\\"" fuck McDonald's as a staff"," fast food restaurant and a motherfucking crew.""",,,
0,0,0,0,Jimi Hendrix- All Along The Watchtower,,,,
0,0,0,0,Track is no joke,,,,
1,0,0,0,"Like all lies, the #truth WILL come out! You can run, but you can't hide. #DarrenWilson",,,,
0,0,0,0,@LVOUIS91s follow back?\ud83d\udc95,,,,
0,0,0,0,"#Transportation #Job in #SantaClarita, CA: Administrator, Air Policies &amp; Procedures at Princess Cruises http://t.co/A2JN0YzEYM",,,,
0,0,0,0,"The MENTOR Network #Healthcare #Job: Licensed Vocational Nurse (LVN\\\\LPN) (#Escondido, CA) http://t.co/nML8Erolrc #Jobs",,,,
0,0,0,0,i need a massage fr !,,,,
0,0,0,0,OK PROFESSOR DOESNT CANCEL CLASS BUT INSTEAD SENDS A SUB,,,,
0,0,0,0,Everyone go follow my mans @iloveloafdog,,,,
0,0,0,0,missing someone who I know misses me too #thebestfeeling,,,,
